model_id,task_id,contrast,caveat,status,n_items,n_clusters,mean_a_100,mean_b_100,difference_100,ci95_low_100,ci95_high_100,p_cluster_swap,resamples,p_holm,significant_holm_0_05,holm_family_size,holm_incomplete_family_conservative
Baichuan2-7B-Chat,classification,G1-Z0,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,20.0,0.0,20.0,5.0,40.0,0.12858714128587143,10000,1.0,False,125,False
Baichuan2-7B-Chat,classification,G3-G1,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,12.0,20.0,-8.000000000000002,-31.000000000000007,14.000000000000004,0.56994300569943,10000,1.0,False,125,False
Baichuan2-7B-Chat,classification,C3-G1,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,15.0,20.0,-5.000000000000002,-20.0,10.0,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,classification,W3-G3,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,11.000000000000002,12.0,-0.9999999999999981,-9.0,6.024999999999641,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,reasoning,G1-Z0,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,95.0,100.0,-5.000000000000004,-15.000000000000002,0.0,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,reasoning,G3-G1,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,97.0,95.0,2.0000000000000018,0.0,5.999999999999995,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,reasoning,C3-G1,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,90.0,95.0,-4.999999999999993,-15.000000000000002,0.0,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,reasoning,W3-G3,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,95.0,97.0,-2.0000000000000018,-5.999999999999995,0.0,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,reasoning,M3-G3,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,95.0,97.0,-2.0000000000000018,-5.999999999999995,0.0,1.0,10000,1.0,False,125,False
Baichuan2-7B-Chat,structuring,G1-Z0,"Original W3/G3 and L3/G3 demo order not uniformly matched; C3 controls character content length imperfectly, not tokenizer-specific information load; fixed decoder seed is not independent scientific replication.",COMPUTED,20,20,80.01431555815356,75.77766436022844,4.236651197925112,2.6761572073061908,5.709440920249433,0.00029997000299970003,10000,0.0365963403659634,True,125,False
